id,company_id,name,created_at,updated_at
2,23,Bangkok,32:08.9,32:08.9
3,25,Bang PaKong,32:09.0,32:09.0
4,25,BangNa,32:09.0,32:09.0
5,25,Bangkok,32:09.0,32:09.0
6,33,"39/73 Moo 2, Samutsakorn Industrial Estate Rama 2 Road, Bang Ka-Jao, Muang Samutsakorn, 74000 Tel :034-490639",32:09.0,32:09.0
7,1,"Amata City Industrial Estate, 7/374, Moo 6, Tumbol Marbyangporn, Amphur Pluakdaeng, Rayaong-21140",32:09.0,32:09.0
8,2,"118/5-7 Moo 5 Rama 2 Rd. Soi Watyairom, Takam, Bangkhuntian, Bangkok , Thailand, 10150 Tel: 02 863-9777",32:09.0,32:09.0
9,4,"69 Moo 5 Wellgrow Industrial Estate KM 36 Bangna-Trad Highway, Bangsamak Bangpakong, Chachoengsao 24180 Tel: 038 571381",32:09.0,32:09.0
10,6,"1/28 Moo.2 Samutsakorn Industrial Estate Rama2 Rd,Ta-Sai , Muang Samutsakorn 74000 Tel: 034-403300",32:09.0,32:09.0
11,7,"588/85 Soi Buan Hua, Sathupradit Road Bangpongpang, Yannawa Bangkok 10120 Tel: 02 295 4926-30",32:09.0,32:09.0
12,17,"19 Moo 10 T. Klong 4, A. Klongluang, Pathumthani 12120 Tel: 02 529 6000",32:09.0,32:09.0
13,34,"Jl. Sumur Bandung I no 99, Kel Harjamukti Kec Cimanggis, Depok 16954 Indonesia",32:09.0,32:09.0
14,35,"1 Charoenrat Road, Thung Wat Don, Sathon, Bangkok 10120 Tel: 02 210 8888",32:09.1,32:09.1
15,36,"221/12 Moo 5, Srinakarintr Road Bangmuang, Muang Samutprakarn 10270 Tel: 02 385 6176-95",32:09.1,32:09.1
16,37,"68 / 2 Moo 5, Tambon Bang Samak, Bangpakong, Chachoengsao 24180 Tel: Tel.038-540 000",32:09.1,32:09.1
17,39,"51/8 Moo.6, Sethakit 1 Rd, Klongmadua, Kratumban, Samutsakhon 74110 Tel: Tel. 0-3444-7536-8",32:09.1,32:09.1
18,40,"192,194,196 Soi Lasalle24, Sukhumvit 105 Road, Bangna, Bangkok 10260 Tel: 02 398 0021-2",32:09.1,32:09.1
19,38,"22/45-47 Moo 4 Soi Pracha-utid 33 Yak 10, Bangkok, Thailand 10140 Tel: 02 427 5430",32:09.1,32:09.1
20,21,"10 Soi Lasalle 49, Lasalle Road, Bangna, Bangna Bangkok 10260 Tel: 02 3615346",32:09.1,32:09.1
21,27,"30/61 Moo 1 Sinsakhon Industrial Estate, Khok Kham, Muang, Samutsakhon 74000 Tel: 034 452276",32:09.1,32:09.1
22,42,"10 Bangchan Industrial Soi 5/1 Soi Serithai 93, Minburi, Bangkok 10510 Tel: 02 5173020",32:09.1,32:09.1
23,43,"500/54 Moo 3 Hemaraj Eastern Seaboard Industrial Estate (Freezone), Tasit, Pluakdaeng, Rayong 21140 Thailand T: +66 38 958227",32:09.1,32:09.1
24,44,"222/1 Moo 3 , Soi Watbuaroi, Tambon Bangsaotong, Amphur Bangsaotong Samutprakarn 10540 Tel: 02-3979137-9",32:09.1,32:09.1
25,45,"83/1 Moo 4, Khaerai, Kratumban, Samutsakhon 74110 Tel: 034 849401",32:09.1,32:09.1
27,46,"9/9 Moo.6 King-Kaew Rd., Rachatheva, Bangplee, Samutprakarn 10540 (Our location next to Soi King Kaew 48.) Tel. +66 2-1752201-8",32:09.2,32:09.2
28,47,"1/1 moo 4 Tambon Bangchang Amphoae Amphawa Samutsongkram 75110, Thailand. Tel (034) 751-186-7",32:09.2,32:09.2
29,48,"Siam Eastern Industrial Park,60/24, Moo3, Tambol Mabyangporn, Amphur Pluakdaeng, Rayong 21140 Tel: 038891352-4",32:09.2,32:09.2
30,49,"Sinsakhon Industrial Estate 30/50 Moo 1, Soi S 1/4 Chetsadawithi Road, Khok Kham, Muang, Samut Sakhon 74000. Tel : 034 417348, 034 417318",32:09.2,32:09.2
31,50,"116/17-18, 2nd floor, Srivit Building, Na Ranong Road, Klongtoey, Bangkok 10110.",32:09.2,32:09.2
32,50,"234 Soi petchkasem 81, Macharoen Road, Nongkhaem, Bangkok 10160. Tel : 02 420 1705,02 420 1454",32:09.2,32:09.2
33,51,"94/133 Moo 3, Soi Kajornwit, Teparak Road, Bangplee Yai, Samutprakarn 10540. Tel : 02 3855030-5",32:09.2,32:09.2
34,52,"20/203 Moo 6, Rama 2 Road,Tumbol Kokkraber, Aumphur Muang, Samutsakorn 74000. Tel: 034833200-2",32:09.2,32:09.2
35,30,"42/1 Moo 6 Bangnumchuard, Muangsamutsakorn, Samutsakorn 74000. Tel: 034854701-2",32:09.2,32:09.2
36,53,"86 Moo 13 Bangna-Trad Km. 10, Bangplee-yai, Bangplee, Samutprakarn 10540. Tel: 02 7510825",32:09.2,32:09.2
37,54,"91 Moo 13 Kingkaew Road, T. Rachadewa, A. Bangplee, Samutprakarn 10540. Tel: 02 7502240",32:09.2,32:09.2
38,55,"Tam Phuoc Industrial Zone, Street No 4, Bien Hoa City, Dong Nai Province, Vietnam. Contact :Quang Pham Van Thanh, Tel: (+84) 937 307 868",53:56.5,53:56.5
39,57,"Lot 19, Road 3, Tan Duc Iindustrial Zone, Duc Hoa Ha WardDuc Hoa District, Long An Province, Vietnam. Contact : Dat Thanh Nguyen , Tel: (+84) 72 3 769 370",38:28.3,38:28.3
